order_id,customer_id,product_id,order_date,quantity,total_price,status
1,177,1,2026-07-17,1,185000,pending
2,352,15,2026-07-21,2,1200000,failed
3,393,22,2026-08-06,3,450000,cancelled
4,412,22,2026-04-17,3,450000,failed
5,154,16,2026-03-05,3,930000,paid
6,312,22,2026-06-20,2,300000,failed
7,240,2,2026-05-06,3,165000,failed
8,258,23,2026-04-18,1,160000,cancelled
9,281,26,2026-08-21,0,0,failed
10,55,14,2026-08-03,1,120000,failed
11,299,16,2026-05-05,1,310000,paid
12,257,29,2026-06-04,3,240000,cancelled
13,415,1,2026-05-17,1,185000,failed
14,220,25,2026-07-26,2,2800000,pending
15,74,10,2026-06-30,2,440000,pending
16,46,3,2026-03-20,1,59000,refunded
17,176,24,2026-05-23,3,690000,failed
18,166,10,2026-07-28,2,440000,failed
19,102,15,2026-05-18,3,1800000,failed
20,183,28,2026-07-26,2,280000,failed
21,298,17,2026-07-18,3,465000,refunded
22,450,19,2026-03-25,3,2100000,paid
23,166,16,2026-08-22,3,-930000,paid
24,67,15,2026-07-13,1,600000,pending
25,287,16,2026-08-08,0,0,paid
26,350,19,2026-05-08,2,1400000,pending
27,351,26,2026-06-10,1,3000000,pending
28,270,17,2026-07-14,1,155000,refunded
29,406,19,2026-03-18,2,1400000,paid
30,447,15,2026-05-05,1,600000,cancelled
31,143,24,2026-07-13,1,230000,paid
32,421,14,2026-04-29,1,120000,refunded
33,8,5,2026-06-12,3,450000,refunded
34,363,8,2026-06-11,1,800000,paid
35,165,19,2026-03-06,1,700000,failed
36,385,2,2026-08-08,3,165000,failed
37,415,26,2026-06-12,3,9000000,paid
38,155,12,2026-05-08,3,465000,paid
39,289,19,2026-06-25,3,2100000,paid
40,77,2,2026-04-12,2,110000,cancelled
41,13,1,2026-04-16,1,185000,cancelled
42,205,28,2026-06-25,1,140000,refunded
43,14,4,2026-07-20,2,220000,pending
44,364,10,2026-08-25,3,660000,paid
45,289,30,2026-06-22,3,1650000,failed
46,375,30,2026-06-17,3,1650000,pending
47,103,15,2026-04-14,1,600000,paid
48,145,6,2026-03-28,0,0,pending
49,78,10,2026-06-23,2,440000,cancelled
50,339,28,2026-03-09,1,140000,failed
51,226,28,2026-06-01,2,280000,refunded
52,109,8,2026-04-15,1,800000,paid
53,314,2,2026-08-20,2,110000,paid
54,187,22,2026-03-23,3,450000,refunded
55,192,16,2026-03-17,1,310000,failed
56,17,25,2026-04-07,3,4200000,paid
57,306,6,2026-06-24,3,270000,failed
58,399,22,2026-06-14,2,300000,cancelled
59,161,2,2026-04-08,2,110000,pending
60,24,26,2026-05-22,2,6000000,pending
61,129,14,2026-07-11,3,360000,refunded
62,113,2,2026-05-17,2,110000,failed
63,462,22,2026-08-07,3,450000,refunded
64,239,27,2026-03-08,1,175000,paid
65,231,14,2026-08-11,3,360000,failed
66,183,19,2026-07-06,2,1400000,refunded
67,467,22,2026-05-21,1,150000,cancelled
68,193,10,2026-08-05,1,220000,failed
69,128,14,2026-08-12,3,360000,refunded
70,161,13,2026-06-17,3,360000,refunded
71,314,10,2026-03-24,2,440000,pending
72,116,5,2026-05-03,2,300000,cancelled
73,131,29,2026-07-21,1,80000,pending
74,98,5,2026-04-10,3,450000,cancelled
75,377,18,2026-06-30,1,1500000,refunded
76,11,25,2026-06-09,2,2800000,pending
77,78,12,2026-06-15,1,155000,cancelled
78,281,2,2026-07-31,2,110000,refunded
79,292,14,2026-08-16,2,240000,pending
80,160,3,2026-05-08,1,59000,refunded
81,152,23,2026-04-30,2,320000,failed
82,419,7,2026-07-08,1,500000,cancelled
83,203,5,2026-08-09,3,450000,paid
84,226,3,2026-05-12,1,59000,paid
85,450,23,2026-04-28,3,480000,refunded
86,275,9,2026-08-11,1,900000,refunded
87,58,14,2026-03-05,3,360000,refunded
88,468,29,2026-03-24,1,80000,refunded
89,392,10,2026-04-06,3,660000,refunded
90,90,24,2026-03-05,3,690000,failed
91,471,23,2026-03-23,3,480000,paid
92,299,4,2026-05-08,3,330000,paid
93,303,23,2026-05-28,3,480000,refunded
94,337,17,2026-07-04,2,310000,cancelled
95,294,6,2026-03-04,3,270000,failed
96,69,25,2026-06-25,2,-2800000,paid
97,334,19,2026-05-17,1,700000,refunded
98,152,6,2026-05-30,3,270000,refunded
99,265,2,2026-07-01,1,55000,failed
100,81,21,2026-08-05,2,158000,refunded
101,390,23,2026-08-14,3,480000,cancelled
102,343,14,2026-03-07,3,360000,refunded
103,120,23,2026-04-23,2,320000,refunded
104,10,21,2026-04-16,3,237000,cancelled
105,61,29,2026-05-05,0,0,cancelled
106,326,25,2026-08-11,1,1400000,cancelled
107,305,12,2026-03-19,2,310000,paid
108,335,28,2026-07-18,2,280000,refunded
109,134,21,2026-04-13,1,79000,failed
110,419,22,2026-05-18,3,450000,paid
111,304,9,2026-03-23,1,900000,refunded
112,497,15,2026-04-30,1,600000,pending
113,490,26,2026-03-01,1,3000000,cancelled
114,39,30,2026-08-09,3,1650000,paid
115,118,24,2026-04-14,3,690000,paid
116,429,30,2026-03-24,1,550000,refunded
117,157,18,2026-04-09,3,4500000,cancelled
118,51,30,2026-07-11,1,550000,pending
119,84,29,2026-03-28,3,240000,pending
120,113,8,2026-08-10,1,800000,paid
121,381,16,2026-04-08,1,310000,failed
122,80,11,2026-06-23,3,810000,paid
123,394,21,2026-06-25,3,237000,pending
