product_id,product_name,base_price
1,Netflix Premium 1 Month,185000
2,Spotify Premium 1 Month,55000
3,Youtube Premium 1 Month,59000
4,Steam Wallet 100K,110000
5,Valorant Points 1000,150000
6,Mobile Legends 344 Diamonds,90000
7,Canva Pro 1 Year,500000
8,Adobe CC 1 Month,800000
9,Microsoft 365 1 Year,900000
10,Zoom Pro 1 Month,220000
11,Google One 100GB 1 Year,270000
12,AWS Credit $10,155000
13,Udemy Course - Python,120000
14,Udemy Course - React,120000
15,Coursera Plus 1 Month,600000
16,ChatGPT Plus 1 Month,310000
17,Midjourney Basic 1 Month,155000
18,Github Copilot 1 Year,1500000
19,NordVPN 1 Year,700000
20,Kaspersky Antivirus 1 Year,200000
21,Genshin Impact Blessing,79000
22,Discord Nitro 1 Month,150000
23,Roblox 1000 Robux,160000
24,Figma Professional 1 Month,230000
25,Notion Plus 1 Year,1400000
26,JetBrains All Products 1 Year,3000000
27,Xbox Game Pass 1 Month,175000
28,PlayStation Plus 1 Month,140000
29,Twitch Sub 1 Month,80000
30,Duolingo Super 1 Year,550000
