id,date,customer,product,price,quantity,status
1,2026-04-12,DIeTEr6342,Printer,3500000,3,cancelled
2,2026-08-26,PIerrELZ0IY,Keyboard,500000,2,cancelled
3,2026-08-16,maTeO_1120,Keyboard,500000,2,paid
4,2026-08-02,eko5_935,Headset,450000,0,cancelled
5,2026-04-16,weI9634,HDD,700000,3,cancelled
6,2026-07-10,Manuel9641,RAM,800000,1,refunded
7,2026-08-16,yamaMoTO7262,Headset,450000,3,refunded
8,2026-05-01,kI5M9485,HDD,700000,5,pending
9,2026-06-08,antOnI3O_730,Keyboard,500000,5,failed
10,2026-06-04,SeRGEYexx,Headset,450000,3,failed
11,2026-08-16,takAhAsHI_642,Monitor,2500000,1,failed
12,2026-07-19,dEvI_395,Keyboard,500000,1,pending
13,2026-04-29,iVan_340,SSD,900000,5,pending
14,2026-05-16,pATELm66,Monitor,2500000,0,pending
15,2026-05-19,kAUrLE0Rt,Monitor,2500000,3,cancelled
16,2026-06-26,aHMEd2448,HDD,700000,1,refunded
17,2026-04-10,aNnAxdhp,HDD,700000,4,paid
18,2026-03-21,Dian3200,Headset,450000,1,paid
19,2026-06-21,O4LIViA879,Mouse,150000,4,failed
20,2026-08-29,aisHa6495,Monitor,2500000,1,cancelled
21,2026-06-18,THiago_126,Laptop,10000000,2,cancelled
22,2026-05-27,watanaBe1725,SSD,900000,0,failed
23,2026-05-14,MarIA_614,Mouse,150000,5,paid
24,2026-08-23,maNueL_3596,Keyboard,500000,3,paid
25,2026-07-10,CAMila92402,Laptop,10000000,5,cancelled
26,2026-05-13,MAnueL96657,SSD,900000,5,paid
27,2026-05-01,MA7riaMqb,Webcam,300000,4,refunded
28,2026-05-05,m9oNIka_747,Headset,450000,3,paid
29,2026-05-01,eko77,SSD,900000,1,refunded
30,2026-06-27,fAng_8397,HDD,700000,1,failed
31,2026-08-24,ITo7085,Mouse,150000,5,refunded
32,2026-04-02,dianDLd,Laptop,10000000,1,cancelled
33,2026-05-21,Ta3Naka2552,Headset,450000,2,failed
34,2026-04-01,bUdI_911,Keyboard,500000,2,pending
35,2026-08-11,CITR9A7096,Keyboard,500000,2,pending
36,2026-06-27,Da6SEB,HDD,700000,1,failed
37,2026-08-02,sOPhIE8240,HDD,700000,5,paid
38,2026-06-24,thIago_707,Printer,-3500000,1,cancelled
39,2026-03-14,Da7S7220,Monitor,2500000,2,cancelled
40,2026-05-25,KUmARI1,Mouse,150000,5,cancelled
41,2026-08-18,M5Ichel4222,Keyboard,500000,5,failed
42,2026-07-15,HUI_035,Laptop,10000000,3,refunded
43,2026-06-05,dIaNatlS,Laptop,10000000,5,failed
44,2026-06-05,eLeNA5610,Webcam,-300000,4,refunded
45,2026-05-12,MICHEL_0440,SSD,900000,0,failed
46,2026-07-12,ELeNACg,Headset,450000,3,pending
47,2026-04-11,OLIvIa_632,Headset,450000,2,cancelled
48,2026-07-08,SuzuKizJpi,Mouse,150000,1,paid
49,2026-07-02,tAKaHasHiA0qt8,Keyboard,500000,3,failed
50,2026-07-12,mONIka_1607,Monitor,2500000,5,cancelled
51,2026-05-20,AlI7133,Printer,3500000,5,pending
52,2026-06-24,dEviTnqvl,Printer,3500000,1,pending
53,2026-04-27,cARmen1172,Laptop,10000000,0,failed
54,2026-06-17,GUPTAt1rz,Headset,450000,3,failed
55,2026-06-23,aNA_0720,Keyboard,500000,1,failed
56,2026-04-01,SeRgeYnD,Webcam,300000,4,pending
57,2026-07-09,park444,Laptop,10000000,2,pending
58,2026-08-31,NGOZI8272,Webcam,300000,1,cancelled
