id,customer,product,price,quantity,status
1,dida,Laptop,10000000,1,paid
2,COLIS,Mouse,150000,2,paid
3,andi,Keyboard,500000,0,paid
4,cecep,Monitor,2500000,2,cancelled
5,riska,Webcam,300000,1,paid
6,BaYu,Keyboard,-500000,1,paid
7,Vina_6007,SSD,900000,4,failed
8,Zaki_9479,RAM,800000,2,paid
9,Wati_3553,Printer,3500000,1,pending
10,Citra_2505,HDD,700000,5,cancelled
11,Gita_2554,Headset,450000,0,paid
12,Zaki_8482,Laptop,10000000,1,paid
13,Udin_8677,Keyboard,500000,1,failed
14,Vina_1409,Headset,450000,4,paid
15,gita_6896,Monitor,2500000,4,pending
16,Tono_4640,HDD,-700000,5,pending
17,iwan_4058,RAM,800000,4,paid
18,Tono_5961,SSD,900000,1,pending
19,Iwan_5624,Headset,450000,3,cancelled
20,HADI_1953,SSD,900000,5,cancelled
21,Joko_8096,Printer,3500000,2,paid
22,Yudi_1624,RAM,800000,5,failed
23,Yudi_1608,Headset,450000,4,refunded
24,Fajar_8647,Webcam,300000,1,pending
25,Zaki_7244,Headset,450000,1,pending
26,gita_1399,SSD,900000,5,pending
27,Yudi_7479,SSD,900000,2,pending
28,JOKO_8188,Monitor,2500000,2,refunded
29,Budi_7889,Keyboard,500000,5,refunded
30,Agus_2892,Mouse,150000,3,failed
31,Deni_6146,Mouse,150000,4,paid
32,Rina_7375,Webcam,300000,0,paid
33,Sari_5474,Printer,3500000,1,paid
34,Iwan_1986,Mouse,150000,2,refunded
35,Eka_5505,SSD,900000,4,pending
36,Zaki_4229,Mouse,150000,0,pending
37,Deni_6509,Headset,450000,2,refunded
38,Sari_1164,Monitor,-2500000,2,cancelled
39,Tono_1991,RAM,800000,0,failed
40,Iwan_5432,HDD,700000,0,failed
41,Fajar_9500,Printer,3500000,2,failed
42,Eka_2696,HDD,700000,4,refunded
43,Wati_3908,SSD,900000,2,refunded
44,Budi_1547,Mouse,150000,0,paid
45,Eka_1174,Printer,3500000,2,paid
46,Joko_6421,RAM,800000,4,failed
47,Udin_1484,Monitor,2500000,3,pending
48,VINA_4903,Printer,3500000,0,paid
